"Page URL","Category","Issue Type","Severity","Status","Element Selector","Element Context","Description","Recommendation","Technical Details"
"https://www.prowood.com/","Advisory","Structure Recommendation","low","FAIL","h4.nav-list-heading","Consider adding intermediate heading levels between H2 and H4 for better document structure","Consider adding intermediate heading levels between H2 and H4 for better document structure","While not required by WCAG, a logical heading sequence improves navigation for screen reader users","HTML Structure"
"https://www.prowood.com/","Manual Review","Ensure Sufficient Image Overlay","manual-review","REVIEW","div.badge-text","Text: ""NOW IN SELECT MARKETS"" | Background image on: div","Possible insufficient dark overlay on image with text. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Ensure Sufficient Image Overlay","manual-review","REVIEW","h2.heading-component.h3","Text: ""Stable, straight, and ready to work."" | Background image on: div","Possible insufficient dark overlay on image with text. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Ensure Sufficient Image Overlay","manual-review","REVIEW","div.rich-text > p","Text: ""TrueFrame Joist is the no-nonsense choice for pros who demand precision."" | Background image on: div","Possible insufficient dark overlay on image with text. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Ensure Sufficient Image Overlay","manual-review","REVIEW","div.icon-list-item_text:nth-of-type(2)","Text: ""Saves time"" | Background image on: div","Possible insufficient dark overlay on image with text. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Ensure Sufficient Image Overlay","manual-review","REVIEW","div.icon-list-item_text:nth-of-type(2)","Text: ""Reduces waste"" | Background image on: div","Possible insufficient dark overlay on image with text. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Ensure Sufficient Image Overlay","manual-review","REVIEW","div.icon-list-item_text:nth-of-type(2)","Text: ""Delivers better end results"" | Background image on: div","Possible insufficient dark overlay on image with text. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Ensure Sufficient Image Overlay","manual-review","REVIEW","div:nth-of-type(1)","Text: ""Learn About TrueFrame Joist"" | Background image on: div","Possible insufficient dark overlay on image with text. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Ensure Sufficient Image Overlay","manual-review","REVIEW","h2.heading-component.w-variant-589bdca6-33f3-78c4-a6fd-e016521bb4c0","Text: ""Where do I find ProWood products?"" | Background image on: div","Possible insufficient dark overlay on image with text. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Ensure Sufficient Image Overlay","manual-review","REVIEW","p.u-text-center","Text: ""ProWood products can be purchased through independent lumberyards and home centers online and across the country."" | Background image on: div","Possible insufficient dark overlay on image with text. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Ensure Sufficient Image Overlay","manual-review","REVIEW","div:nth-of-type(1)","Text: ""Find a Dealer"" | Background image on: div","Possible insufficient dark overlay on image with text. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
